2457752.40306  -89.838    1.708
2457755.38261  -92.659    2.843
2457761.47313  -94.068    2.634
2457788.49993  -43.478    3.605
2457815.46609  -14.095    2.016
2457823.56615   -7.170    1.898
2457833.40010    0.359    2.916
2457848.36227   16.307    1.964
2457852.39121   20.234    2.965
2457856.41314   21.715    2.348
2457866.35684   26.876    2.727
2457875.38818   36.220    3.002
2457876.37181   37.065    1.930
2457880.37549   41.920    2.742
2457882.35894   41.849    2.815
2457884.45591   37.326    5.755
2457886.38837   34.452    4.424
2457888.38030   43.224    1.946
2457890.42001   41.621    2.468
2457892.37058   45.822    2.685
2457894.40148   46.980    2.008
2457896.38966   44.106    2.257
2457898.35693   47.885    2.258
2457905.40209   52.389    2.835
2457914.38462   48.854    4.748
2458025.69475   -6.880    2.250
2458031.70440    1.055    2.444
2458053.66205   17.402    1.916
2458073.72185   31.345    1.814
2458078.71290   33.301    1.941
2458084.69243   38.516    2.310
2458088.68639   39.595    7.594
2458091.67119   42.767    1.880
2458093.64456   43.326    1.797
2458095.67284   43.159    1.506
2458097.66056   47.174    2.657
2458105.61591   49.795    1.953
2458109.63050   46.552    2.078
2458111.74693   49.166    3.157
2458117.59944   43.811    1.926
2458118.60030   43.790    2.867
2458120.53235   42.752    2.578
2458121.53065   41.705    1.951
2458122.62307   42.165    2.116
2458123.60016   43.534    2.006
2458127.71874   41.066    6.906
2458130.63962   28.070    3.729
2458131.58525   25.942    2.153
2458132.72650   29.829    3.852
2458135.57749   19.800    2.456
2458136.48720   15.878    2.080
2458138.52345   12.110    2.723
2458139.52973    6.807    1.908
2458140.49414    2.283    1.722
2458141.53974   -2.975    1.694
2458142.61890   -5.366    2.069
2458143.41112  -16.625    2.106
2458149.53603  -40.484    3.199
2458164.38871  -91.564    2.873
2458166.47462  -90.353    1.954
2458167.47407  -94.140    2.646
2458169.59236  -89.870    2.215
2458170.67582  -86.664    2.675
2458171.45499  -84.995    4.384
2458172.45148  -84.296    3.297
2458174.44459  -69.341    7.116
2458175.43926  -82.043    2.280
2458182.43647  -65.373    4.813
2458186.57773  -56.912    5.344
2458200.37692  -34.720    2.824
2458205.37061  -26.658    2.206
2458206.36760  -28.928    2.768
2458207.35690  -27.600    2.876
2458209.38615  -25.144    2.228
2458211.39118  -21.098    3.210
2458212.37033  -19.987    3.332
2458213.39355  -16.842    2.645
2458215.36100  -14.779    2.203
2458216.34017   -8.658    5.582
2458217.33781  -12.199    6.114
2458218.33599  -11.794    6.808
2458225.38799   -5.114    2.062
2458229.43463   -3.762    3.961
2458236.45155    8.198    3.216
2458237.35076    5.611    5.391
2458243.37491   20.016    7.519
2458245.43872   15.766    2.571
2458246.44629   15.070    2.244
2458249.49160   16.909    3.019
2458251.36808   17.934    5.651
2458260.40670   30.172    2.670
2458261.38434   29.325    1.897
2458262.38014   37.333    6.639
2458263.41435   32.293    4.255
2458264.40512   34.691    2.455
2458265.42250   37.183    2.422
2458266.40621   37.975    3.297
2458270.36666   38.565    2.373
2458271.38935   39.585    2.360
2458277.39038   41.301    2.782
2458359.67847  -61.867    2.757
2458360.68884  -62.647    6.323
2458361.67255  -79.242    2.174
2458362.67945  -80.229    2.209
2458365.66642  -82.459    3.623
2458366.68771  -84.261    1.904
2458367.68229  -82.065    2.293
2458370.69203  -84.038    2.300
2458371.69954  -85.415    2.084
2458375.70165  -76.328    4.319
2458381.69776  -66.941    1.907
2458382.68500  -66.239    1.597
2458385.69581  -56.166    1.724
2458390.69382  -50.168    2.083
2458393.65881  -46.697    2.175
2458398.69837  -43.628    2.273
2458405.67252  -28.010    3.959
2458413.67975  -12.173    2.068
2458424.71113    3.002    2.905
2458426.68607    5.045    2.002
2458429.69051   10.362    2.415
2458431.73049   13.107   11.561
2458433.72023    8.430    2.038
2458449.64374   30.812    4.301
2458458.63305   36.609    1.845
2458474.63199   45.880    1.789
2458485.60806   49.461    2.053
2458492.57230   53.802    2.084
2458499.57137   63.090    2.455
2458510.64660   72.978    2.491
2458518.61846   71.258    3.517
2458524.60678   65.634    2.789
2458529.44890   64.815    2.028
2458534.49788   59.737    2.130
2458539.51526   52.522    1.674
2458544.60237   31.647    2.877
2458553.50286   -5.386    2.064
2458558.37150  -34.710    2.241
2458560.36604  -47.812    3.604
2458564.57768  -67.722    4.345
2458568.54786  -70.976    4.025
2458570.53143  -66.540    4.022
2458576.59001  -72.242    3.034
2458587.38455  -51.418    2.825
2458616.41732    1.050    2.524
